Time,Temperature,Humidity,Moisture,MoistureClass,LightValue,Lights,PiTemperature,Height,SonicDistance,Image,WaterGiven
Thu Jan 24 05:00:18 2019,17.0,45.0,508,Moist,0,False,35.9,,,,0.0
Thu Jan 24 05:10:18 2019,17.0,44.0,504,Moist,0,False,36.5,,,,0.0
Thu Jan 24 05:20:18 2019,17.0,44.0,506,Moist,0,False,36.5,,,,0.0
Thu Jan 24 05:30:18 2019,17.0,44.0,504,Moist,0,False,36.5,,,,0.0
Thu Jan 24 05:40:18 2019,17.0,44.0,502,Moist,0,False,35.9,,,,0.0
Thu Jan 24 05:50:18 2019,17.0,44.0,504,Moist,0,False,36.5,,,,0.0
Thu Jan 24 06:00:18 2019,17.0,44.0,500,Moist,0,False,36.5,,,,0.0
Thu Jan 24 06:10:19 2019,17.0,44.0,501,Moist,0,False,36.5,,,,0.0
Thu Jan 24 06:20:19 2019,17.0,44.0,502,Moist,0,False,37.0,,,,0.0
Thu Jan 24 06:30:19 2019,18.0,44.0,502,Moist,0,False,37.6,,,,0.0
Thu Jan 24 06:40:19 2019,19.0,42.0,503,Moist,0,False,37.6,,,,0.0
Thu Jan 24 06:50:19 2019,20.0,39.0,503,Moist,0,False,37.6,,,,0.0
Thu Jan 24 07:00:19 2019,19.0,39.0,505,Moist,0,False,38.1,,,,0.0
Thu Jan 24 07:10:19 2019,19.0,39.0,502,Moist,0,False,37.6,,,,0.0
Thu Jan 24 07:20:19 2019,19.0,40.0,502,Moist,0,False,37.6,,,,0.0
Thu Jan 24 07:30:20 2019,19.0,40.0,501,Moist,0,False,37.6,,,,0.0
Thu Jan 24 07:40:20 2019,19.0,40.0,502,Moist,0,False,37.0,,,,0.0
Thu Jan 24 07:50:20 2019,18.0,41.0,501,Moist,0,False,37.6,,,,0.0
Thu Jan 24 08:00:20 2019,18.0,42.0,500,Moist,0,False,37.0,,,,0.0
Thu Jan 24 08:10:20 2019,18.0,43.0,501,Moist,2,False,37.0,,,,0.0
Thu Jan 24 08:20:20 2019,18.0,43.0,504,Moist,6,False,37.6,,,,0.0
Thu Jan 24 08:30:20 2019,17.0,43.0,502,Moist,15,True,37.6,,,,0.0
Thu Jan 24 08:40:21 2019,17.0,43.0,507,Moist,25,True,37.0,,,,0.0
Thu Jan 24 08:50:21 2019,17.0,43.0,508,Moist,47,True,36.5,,,,0.0
Thu Jan 24 09:00:22 2019,17.0,43.0,511,Moist,106,True,38.1,,,,0.0
Thu Jan 24 09:10:22 2019,18.0,43.0,512,Moist,169,True,39.2,,,,0.0
Thu Jan 24 09:20:23 2019,20.0,42.0,515,Moist,257,True,41.3,,,,0.0
Thu Jan 24 09:30:23 2019,22.0,39.0,517,Moist,347,True,42.4,,,,0.0
Thu Jan 24 09:40:23 2019,25.0,33.0,521,Moist,487,True,43.5,,,,0.0
Thu Jan 24 09:50:24 2019,26.0,30.0,526,Moist,634,True,44.0,,,,0.0
Thu Jan 24 10:00:24 2019,27.0,28.0,527,Moist,769,True,45.1,,,,0.0
Thu Jan 24 10:10:25 2019,27.0,27.0,527,Moist,769,True,45.1,,,,0.0
